age	data_type
29	genomes
19	genomes
13	genomes
23	genomes
15	genomes
26	genomes
17	genomes
33	genomes
27	genomes
23	genomes
26	genomes
12	genomes
6	genomes
21	genomes
32	genomes
12	genomes
21	genomes
26	genomes
19	genomes
25	genomes
30	genomes
20	genomes
22	genomes
26	genomes
31	genomes
22	genomes
19	genomes
17	genomes
24	genomes
17	genomes
15	genomes
99	genomes
21	genomes
16	genomes
13	genomes
10	genomes
25	genomes
19	genomes
17	genomes
25	genomes
27	genomes
28	genomes
15	genomes
13	genomes
4	genomes
30	genomes
18	genomes
10	genomes
20	genomes
19	genomes
6	genomes
25	genomes
24	genomes
23	genomes
17	genomes
22	genomes
19	genomes
30	genomes
30	genomes
18	genomes
28	genomes
25	genomes
14	genomes
11	genomes
23	genomes
8	genomes
25	genomes
16	genomes
26	genomes
8	genomes
19	genomes
21	genomes
20	genomes
23	genomes
31	genomes
15	genomes
20	genomes
18	genomes
21	genomes
14	genomes
14	genomes
17	genomes
25	genomes
15	genomes
24	genomes
21	genomes
19	genomes
18	genomes
7	genomes
31	genomes
33	genomes
14	genomes
18	genomes
28	genomes
32	genomes
21	genomes
18	genomes
20	genomes
17	genomes
16	genomes
21	genomes
23	genomes
18	genomes
28	genomes
23	genomes
18	genomes
18	genomes
20	genomes
27	genomes
15	genomes
15	genomes
16	genomes
19	genomes
13	genomes
11	genomes
30	genomes
22	genomes
30	genomes
25	genomes
25	genomes
28	genomes
22	genomes
30	genomes
26	genomes
23	genomes
20	genomes
14	genomes
24	genomes
10	genomes
20	genomes
99	genomes
19	genomes
15	genomes
20	genomes
10	genomes
25	genomes
17	genomes
32	genomes
18	genomes
21	genomes
11	genomes
27	genomes
19	genomes
10	genomes
7	genomes
15	genomes
14	genomes
25	genomes
10	genomes
19	genomes
20	genomes
6	genomes
6	genomes
3	genomes
21	genomes
20	genomes
31	genomes
21	genomes
30	genomes
29	genomes
18	genomes
17	genomes
12	genomes
10	genomes
11	genomes
27	genomes
30	genomes
21	genomes
16	genomes
21	genomes
18	genomes
5	genomes
11	genomes
9	genomes
19	genomes
27	genomes
20	genomes
17	genomes
25	genomes
14	genomes
27	genomes
99	genomes
9	genomes
18	genomes
18	genomes
14	genomes
16	genomes
19	genomes
18	genomes
12	genomes
18	genomes
18	genomes
12	genomes
22	genomes
22	genomes
24	genomes
20	genomes
20	genomes
18	genomes
28	genomes
11	genomes
27	genomes
19	genomes
8	genomes
21	genomes
21	genomes
14	genomes
21	genomes
24	genomes
28	genomes
18	genomes
26	genomes
5	genomes
13	genomes
17	genomes
20	genomes
19	genomes
17	genomes
24	genomes
16	genomes
19	genomes
18	genomes
30	genomes
22	genomes
21	genomes
14	genomes
8	genomes
20	genomes
17	genomes
15	genomes
31	genomes
28	genomes
18	genomes
18	genomes
29	genomes
17	genomes
18	genomes
20	genomes
14	genomes
22	genomes
12	genomes
26	genomes
22	genomes
21	genomes
23	genomes
28	genomes
19	genomes
16	genomes
15	genomes
99	genomes
20	genomes
17	genomes
14	genomes
16	genomes
23	genomes
20	genomes
12	genomes
23	genomes
18	genomes
20	genomes
18	genomes
18	genomes
11	genomes
16	genomes
24	genomes
15	genomes
16	genomes
99	genomes
25	genomes
15	genomes
17	genomes
15	genomes
21	genomes
21	genomes
20	genomes
32	genomes
18	genomes
20	genomes
19	genomes
20	genomes
18	genomes
14	genomes
22	genomes
17	genomes
9	genomes
20	genomes
20	genomes
27	genomes
17	genomes
99	genomes
18	genomes
30	genomes
19	genomes
30	genomes
9	genomes
15	genomes
25	genomes
14	genomes
19	genomes
32	genomes
31	genomes
14	genomes
20	genomes
13	genomes
16	genomes
14	genomes
20	genomes
30	genomes
24	genomes
15	genomes
27	genomes
27	genomes
31	genomes
13	genomes
18	genomes
9	genomes
14	genomes
30	genomes
20	genomes
12	genomes
9	genomes
21	genomes
22	genomes
17	genomes
8	genomes
28	genomes
16	genomes
29	genomes
7	genomes
12	genomes
13	genomes
14	genomes
13	genomes
9	genomes
26	genomes
18	genomes
23	genomes
14	genomes
32	genomes
20	genomes
19	genomes
28	genomes
14	genomes
17	genomes
19	genomes
28	genomes
21	genomes
18	genomes
18	genomes
18	genomes
15	genomes
13	genomes
17	genomes
19	genomes
22	genomes
24	genomes
18	genomes
29	genomes
32	genomes
22	genomes
24	genomes
17	genomes
23	genomes
31	genomes
10	genomes
16	genomes
8	genomes
18	genomes
19	genomes
13	genomes
20	genomes
18	genomes
12	genomes
18	genomes
15	genomes
19	genomes
16	genomes
13	genomes
17	genomes
22	genomes
19	genomes
7	genomes
22	genomes
7	genomes
23	genomes
17	genomes
26	genomes
29	genomes
4	genomes
25	genomes
19	genomes
21	genomes
20	genomes
5	genomes
5	genomes
21	genomes
21	genomes
19	genomes
20	genomes
29	genomes
32	genomes
13	genomes
28	genomes
20	genomes
10	genomes
15	genomes
28	genomes
14	genomes
16	genomes
19	genomes
6	genomes
32	genomes
24	genomes
25	genomes
22	genomes
15	genomes
19	genomes
30	genomes
30	genomes
33	genomes
13	genomes
17	genomes
18	genomes
12	genomes
32	genomes
17	genomes
27	genomes
25	genomes
20	genomes
22	genomes
18	genomes
16	genomes
16	genomes
30	genomes
23	genomes
18	genomes
19	genomes
16	genomes
14	genomes
22	genomes
27	genomes
12	genomes
15	genomes
22	genomes
18	genomes
33	genomes
31	genomes
18	genomes
10	genomes
19	genomes
24	genomes
24	genomes
33	genomes
28	genomes
17	genomes
29	genomes
15	genomes
20	genomes
20	genomes
24	genomes
15	genomes
18	genomes
24	genomes
25	genomes
19	genomes
16	genomes
8	genomes
18	genomes
19	genomes
29	genomes
18	genomes
29	genomes
19	genomes
8	genomes
12	genomes
17	genomes
25	genomes
25	genomes
19	genomes
6	genomes
19	genomes
27	genomes
15	genomes
18	genomes
18	genomes
17	genomes
27	genomes
21	genomes
30	genomes
5	genomes
23	genomes
19	genomes
13	genomes
5	genomes
18	genomes
20	genomes
28	genomes
18	genomes
27	genomes
28	genomes
17	genomes
18	genomes
12	genomes
16	genomes
15	genomes
25	genomes
28	genomes
24	genomes
12	genomes
15	genomes
27	genomes
19	genomes
24	genomes
18	genomes
23	genomes
20	genomes
17	genomes
17	genomes
16	genomes
20	genomes
12	genomes
24	genomes
23	genomes
18	genomes
7	genomes
26	genomes
28	genomes
15	genomes
24	genomes
24	genomes
23	genomes
6	genomes
28	genomes
23	genomes
26	genomes
12	genomes
28	genomes
15	genomes
31	genomes
29	genomes
26	genomes
25	genomes
21	genomes
26	genomes
14	genomes
19	genomes
33	genomes
10	genomes
11	genomes
21	genomes
4	genomes
16	genomes
8	genomes
17	genomes
19	genomes
17	genomes
12	genomes
25	genomes
15	genomes
13	genomes
15	genomes
18	genomes
12	genomes
21	genomes
16	genomes
20	genomes
30	genomes
25	genomes
20	genomes
31	genomes
8	genomes
20	genomes
27	genomes
9	genomes
15	genomes
20	genomes
5	genomes
27	genomes
12	genomes
15	genomes
16	genomes
17	genomes
7	genomes
22	genomes
18	genomes
15	genomes
5	genomes
26	genomes
20	genomes
14	genomes
10	genomes
29	genomes
23	genomes
20	genomes
20	genomes
25	genomes
99	genomes
31	genomes
17	genomes
18	genomes
22	genomes
18	genomes
16	genomes
19	genomes
12	genomes
19	genomes
8	genomes
5	genomes
15	genomes
22	genomes
20	genomes
17	genomes
17	genomes
18	genomes
23	genomes
18	genomes
24	genomes
20	genomes
19	genomes
21	genomes
22	genomes
13	genomes
25	genomes
9	genomes
31	genomes
31	genomes
19	genomes
29	genomes
17	genomes
26	genomes
17	genomes
28	genomes
17	genomes
24	genomes
16	genomes
25	genomes
10	genomes
17	genomes
21	genomes
28	genomes
21	genomes
21	genomes
33	genomes
25	genomes
8	genomes
29	genomes
10	genomes
19	genomes
33	genomes
19	genomes
22	genomes
16	genomes
10	genomes
28	genomes
9	genomes
12	genomes
15	genomes
14	genomes
23	genomes
10	genomes
10	genomes
18	genomes
19	genomes
29	genomes
31	genomes
31	genomes
22	genomes
16	genomes
24	genomes
19	genomes
17	genomes
6	genomes
29	genomes
14	genomes
19	genomes
22	genomes
12	genomes
21	genomes
19	genomes
10	genomes
22	genomes
16	genomes
12	genomes
33	genomes
20	genomes
18	genomes
25	genomes
19	genomes
32	genomes
16	genomes
29	genomes
22	genomes
25	genomes
14	genomes
21	genomes
24	genomes
30	genomes
12	genomes
22	genomes
14	genomes
24	genomes
19	genomes
30	genomes
19	genomes
16	genomes
21	genomes
23	genomes
21	genomes
25	genomes
20	genomes
26	genomes
18	genomes
15	genomes
18	genomes
22	genomes
8	genomes
13	genomes
19	genomes
16	genomes
18	genomes
23	genomes
24	genomes
28	genomes
22	genomes
17	genomes
24	genomes
16	genomes
28	genomes
18	genomes
22	genomes
15	genomes
25	genomes
32	genomes
16	genomes
17	genomes
30	genomes
19	genomes
25	genomes
15	genomes
28	genomes
8	genomes
16	genomes
20	genomes
18	genomes
25	genomes
17	genomes
32	genomes
11	genomes
16	genomes
15	genomes
20	genomes
18	genomes
99	genomes
18	genomes
27	genomes
29	genomes
19	genomes
29	genomes
16	genomes
18	genomes
20	genomes
28	genomes
15	genomes
22	genomes
18	genomes
17	genomes
18	genomes
17	genomes
17	genomes
15	genomes
21	genomes
18	genomes
16	genomes
20	genomes
13	genomes
20	genomes
23	genomes
19	genomes
33	genomes
20	genomes
30	genomes
11	genomes
28	genomes
19	genomes
16	genomes
16	genomes
13	genomes
28	genomes
30	genomes
20	genomes
18	genomes
10	genomes
30	genomes
24	genomes
16	genomes
24	genomes
21	genomes
17	genomes
12	genomes
17	genomes
22	genomes
28	genomes
30	genomes
30	genomes
25	genomes
18	genomes
28	genomes
18	genomes
25	genomes
19	genomes
12	genomes
24	genomes
22	genomes
13	genomes
7	genomes
32	genomes
21	genomes
15	genomes
21	genomes
7	genomes
23	genomes
30	genomes
14	genomes
14	genomes
13	genomes
20	genomes
26	genomes
22	genomes
18	genomes
18	genomes
22	genomes
20	genomes
11	genomes
23	genomes
8	genomes
12	genomes
22	genomes
14	genomes
17	genomes
22	genomes
10	genomes
21	genomes
20	genomes
20	genomes
28	genomes
19	genomes
21	genomes
23	genomes
21	genomes
30	genomes
21	genomes
20	genomes
29	genomes
5	genomes
14	genomes
26	genomes
12	genomes
32	genomes
12	genomes
20	genomes
15	genomes
16	genomes
15	genomes
27	genomes
22	genomes
30	genomes
30	genomes
9	genomes
17	genomes
11	genomes
28	genomes
22	genomes
25	genomes
20	genomes
28	genomes
24	genomes
21	genomes
23	genomes
21	genomes
17	genomes
21	genomes
23	genomes
20	genomes
20	genomes
18	genomes
23	genomes
15	genomes
15	genomes
23	genomes
8	genomes
17	genomes
7	genomes
12	genomes
19	genomes
20	genomes
19	genomes
13	genomes
17	genomes
20	genomes
12	genomes
30	genomes
22	genomes
22	genomes
19	genomes
21	genomes
19	genomes
14	genomes
21	genomes
25	genomes
19	genomes
18	genomes
19	genomes
19	genomes
10	genomes
22	genomes
32	genomes
18	genomes
18	genomes
16	genomes
19	genomes
21	genomes
12	genomes
27	genomes
23	genomes
25	genomes
20	genomes
23	genomes
21	genomes
13	genomes
28	genomes
23	genomes
32	genomes
18	genomes
29	genomes
21	genomes
13	genomes
23	genomes
22	genomes
19	genomes
22	genomes
21	genomes
24	genomes
13	genomes
23	genomes
18	genomes
26	genomes
14	genomes
17	genomes
18	genomes
26	genomes
19	genomes
16	genomes
20	genomes
22	genomes
31	genomes
18	genomes
31	genomes
29	genomes
23	genomes
10	genomes
18	genomes
25	genomes
29	genomes
30	genomes
23	genomes
20	genomes
23	genomes
18	genomes
6	genomes
20	genomes
19	genomes
16	genomes
18	genomes
23	genomes
21	genomes
21	genomes
32	genomes
26	genomes
14	genomes
18	genomes
25	genomes
17	genomes
25	genomes
12	genomes
26	genomes
29	genomes
18	genomes
11	genomes
30	genomes
19	genomes
5	genomes
25	genomes
25	genomes
19	genomes
18	genomes
21	genomes
20	genomes
18	genomes
14	genomes
10	genomes
33	genomes
18	genomes
23	genomes
27	genomes
30	genomes
18	genomes
16	genomes
14	genomes
23	genomes
13	genomes
15	genomes
21	genomes
25	genomes
16	genomes
9	genomes
13	genomes
16	genomes
23	genomes
22	genomes
26	genomes
25	genomes
20	genomes
20	genomes
16	genomes
31	genomes
16	genomes
18	genomes
19	genomes
17	genomes
25	genomes
16	genomes
18	genomes
12	genomes
30	genomes
22	genomes
18	genomes
7	genomes
21	genomes
10	genomes
26	genomes
22	genomes
30	genomes
99	genomes
8	genomes
21	genomes
29	genomes
7	genomes
17	genomes
24	genomes
25	genomes
11	genomes
25	genomes
7	genomes
24	genomes
20	genomes
15	genomes
14	genomes
22	genomes
21	genomes
31	genomes
27	genomes
22	genomes
8	genomes
25	genomes
99	genomes
26	genomes
10	genomes
14	genomes
20	genomes
16	genomes
32	genomes
20	genomes
18	genomes
19	genomes
20	genomes
16	genomes
15	genomes
29	genomes
14	genomes
18	genomes
19	genomes
19	genomes
28	genomes
20	genomes
32	genomes
18	genomes
17	genomes
25	genomes
20	genomes
23	genomes
16	genomes
22	genomes
10	genomes
25	genomes
12	genomes
24	genomes
25	genomes
15	genomes
13	genomes
14	genomes
16	genomes
32	genomes
15	genomes
32	genomes
9	genomes
20	genomes
14	genomes
16	genomes
16	genomes
20	genomes
10	genomes
18	genomes
24	genomes
22	genomes
33	genomes
21	genomes
26	genomes
18	genomes
13	genomes
30	genomes
16	genomes
25	genomes
26	genomes
11	genomes
13	genomes
31	genomes
26	genomes
23	genomes
11	genomes
22	genomes
28	genomes
30	genomes
25	genomes
16	genomes
14	genomes
22	genomes
17	genomes
14	genomes
19	genomes
22	genomes
14	genomes
14	genomes
28	genomes
15	genomes
15	genomes
17	genomes
33	genomes
13	genomes
26	genomes
15	genomes
8	genomes
15	genomes
18	genomes
22	genomes
9	genomes
23	genomes
15	genomes
15	genomes
12	genomes
8	genomes
22	genomes
24	genomes
22	genomes
15	genomes
30	genomes
25	genomes
20	genomes
33	genomes
16	genomes
22	genomes
28	genomes
7	genomes
18	genomes
18	genomes
22	genomes
21	genomes
16	genomes
19	genomes
23	genomes
24	genomes
18	genomes
19	genomes
10	genomes
15	genomes
21	genomes
21	genomes
17	genomes
18	genomes
25	genomes
23	genomes
19	genomes
19	genomes
11	genomes
22	genomes
13	genomes
27	genomes
14	genomes
30	genomes
22	genomes
29	genomes
22	genomes
26	genomes
15	genomes
23	genomes
19	genomes
17	genomes
22	genomes
17	genomes
10	genomes
20	genomes
23	genomes
15	genomes
32	genomes
10	genomes
18	genomes
20	genomes
23	genomes
19	genomes
14	genomes
20	genomes
27	genomes
17	genomes
21	genomes
26	genomes
20	genomes
31	genomes
16	genomes
33	genomes
27	genomes
26	genomes
5	genomes
29	genomes
23	genomes
21	genomes
18	genomes
16	genomes
16	genomes
18	genomes
24	genomes
17	genomes
6	genomes
18	genomes
21	genomes
15	genomes
21	genomes
22	genomes
23	genomes
32	genomes
18	genomes
18	genomes
6	genomes
17	genomes
30	genomes
21	genomes
19	genomes
15	genomes
18	genomes
16	genomes
20	genomes
33	genomes
15	genomes
16	genomes
29	genomes
18	genomes
12	genomes
19	genomes
17	genomes
20	genomes
20	genomes
19	genomes
20	genomes
21	genomes
29	genomes
16	genomes
17	genomes
6	genomes
20	genomes
22	genomes
21	genomes
26	genomes
10	genomes
16	genomes
20	genomes
20	genomes
22	genomes
25	genomes
14	genomes
28	genomes
17	genomes
16	genomes
19	genomes
27	genomes
20	genomes
32	genomes
32	genomes
18	genomes
26	genomes
18	genomes
12	genomes
18	genomes
31	genomes
32	genomes
25	genomes
32	genomes
26	genomes
32	genomes
84	genomes
56.8	genomes
55.7	genomes
51.6	genomes
50.5	genomes
59.9	genomes
51.7	genomes
52.8	genomes
45.3	genomes
57.8	genomes
49.6	genomes
47.6	genomes
65.6	genomes
59.3	genomes
65.8	genomes
44.3	genomes
59.6	genomes
42.1	genomes
52.3	genomes
44.8	genomes
58.4	genomes
59.9	genomes
59.3	genomes
42.3	genomes
55.8	genomes
59.8	genomes
62.3	genomes
50.2	genomes
37.5	genomes
60.4	genomes
54.6	genomes
49.43	genomes
48.2	genomes
48.31	genomes
43.2	genomes
54.4	genomes
56.27	genomes
56.8	genomes
64.9	genomes
58.1	genomes
40.6	genomes
42.8	genomes
48.9	genomes
54.1	genomes
62.4	genomes
56.73	genomes
58.87	genomes
52.47	genomes
47.4	genomes
45.2	genomes
58.9	genomes
46.2	genomes
46.3	genomes
44.2	genomes
50.2	genomes
46.1	genomes
54.4	genomes
44.4	genomes
59.8	genomes
49.3	genomes
55.43	genomes
56.63	genomes
45.3	genomes
48.4	genomes
55.99	genomes
44.9	genomes
83	genomes
78	genomes
86	genomes
82	genomes
81	genomes
85	genomes
79	genomes
81	genomes
84	genomes
78	genomes
78	genomes
63.4	genomes
78	genomes
70.9	genomes
71.2	genomes
60.7	genomes
84.63	genomes
62.12	genomes
69.2	genomes
71.35	genomes
84.2	genomes
67.7	genomes
69.23	genomes
66.95	genomes
74.4	genomes
67.2	genomes
74.9	genomes
66.2	genomes
75.3	genomes
77.2	genomes
60.8	genomes
60.4	genomes
61.2	genomes
78.5	genomes
79	genomes
82.6	genomes
64.6	genomes
75.7	genomes
62.2	genomes
75.8	genomes
63.63	genomes
81.7	genomes
62.87	genomes
82.6	genomes
75.2	genomes
87	genomes
61.4	genomes
